stream,stakeholder,percentage,fixed_cost
forestry,expert,0.05,15000
forestry,supplier,0.35,45000
forestry,operator,0.10,12000
forestry,project_development,0.15,
forestry,admin,0.03,
soil,expert,0.06,8000
soil,supplier,0.33,25000
soil,operator,0.10,12000
soil,project_development,0.16,
soil,admin,0.02,
biodiversity,expert,0.04,10000
biodiversity,supplier,0.37,35000
biodiversity,operator,0.10,12000
biodiversity,project_development,0.14,
biodiversity,admin,0.04,
beef,expert,0.05,12000
beef,supplier,0.36,40000
beef,operator,0.10,12000
beef,project_development,0.15,
beef,admin,0.03,
