year,farms_operational,total,avg_revenue_per_farm,oldest_farm_cumulative_profit
1,2,0.0,0.0,0.0
2,2,9930600.0,4965300.0,2118968.6
3,3,14919588.4,4973196.133333334,4241585.2136
4,4,25635379.068000004,6408844.767000001,7027471.495954001
5,5,39783354.16624001,7956670.8332480015,10528453.42091458
6,6,57706976.907325216,9617829.484554203,14796890.64277862
7,8,79850642.82519345,9981330.353149181,19233265.265933543
8,10,113166712.61292212,11316671.261292212,24286567.388650544
9,10,155301842.2804884,15530184.22804884,31286512.50200911
10,10,190885387.44136482,19088538.744136482,39930417.40180016
