year,farms_operational,forestry_carbon,soil_carbon,biodiversity,premium_beef,water_credits,total,expert_fees,supplier_costs,operator_fees,operator_overflow,project_development,fund_administration,treasury_pretax,corporate_tax,treasury_net,operating_costs,accumulated_treasury,portfolio_nav,token_price,funding_gap,forwards_needed,discount_cost,treasury_sufficient
1,2,0.0,35000.0,0.0,0.0,0.0,35000.0,1750.0,12250.0,3500.0,0.0,5250.0,1050.0,11200.0,3360.0,7840.0,18550.0,7840.0,20607840.0,0.15494616541353384,10710.0,306.0,3060.0,False
2,4,280000.0,112000.0,0.0,0.0,0.0,392000.0,19600.0,137200.0,39200.0,0.0,58800.0,11760.0,125440.0,37632.0,87808.0,207760.0,95648.0,48897047.99999999,0.36764697744360897,112112.0,3203.2,32032.0,False
3,6,960000.0,288000.0,1500000.0,2040000.0,0.0,4788000.0,239400.0,1675800.0,250000.0,228800.0,718200.0,143640.0,1760960.0,528288.0,1232672.0,2308840.0,1328320.0,79825545.54999998,0.6001920718045112,980520.0,28014.85714285714,280148.5714285714,False
4,8,1680000.0,504000.0,0.0,3600000.0,200000.0,5984000.0,299200.0,2094399.9999999998,250000.0,348400.0,897600.0,179520.0,2263280.0,678984.0,1584296.0,2823120.0,2912616.0,113074824.05999996,0.8501866470676689,0.0,0.0,0.0,True
5,10,2700000.0,810000.0,1500000.0,5700000.0,550000.0,11260000.0,563000.0,3940999.9999999995,250000.0,876000.0,1689000.0,337800.0,4479200.0,1343760.0,3135440.0,5091800.0,6048056.0,154479710.09280002,1.161501579645113,0.0,0.0,0.0,True
6,10,3150000.0,900000.0,0.0,6500000.0,900000.0,11450000.0,572500.0,4007499.9999999995,250000.0,895000.0,1717500.0,343500.0,4559000.0,1367700.0,3191300.0,5173500.0,9239356.0,167404233.31200004,1.2586784459548874,0.0,0.0,0.0,True
7,10,3600000.0,990000.0,2800000.0,7350000.0,1300000.0,16040000.0,802000.0,5614000.0,250000.0,1354000.0,2406000.0,481200.0,6486800.0,1946040.0,4540760.0,7147200.0,13780116.0,183887844.80820665,1.3826153744977943,0.0,0.0,0.0,True
8,10,4080000.0,1152000.0,0.0,8250000.0,1750000.0,15232000.0,761600.0,5331200.0,250000.0,1273200.0,2284800.0,456960.0,6147440.0,1844232.0,4303208.0,6799760.0,18083324.0,195845900.60457593,1.4725255684554581,0.0,0.0,0.0,True
9,10,4500000.0,1250000.0,4000000.0,9200000.0,2250000.0,21200000.0,1060000.0,7419999.999999999,250000.0,1870000.0,3180000.0,636000.0,8654000.0,2596200.0,6057800.0,9366000.0,24141124.0,218057150.99731454,1.639527451107628,0.0,0.0,0.0,True
10,10,4940000.0,1352000.0,0.0,10200000.0,2800000.0,19292000.0,964600.0,6752200.0,250000.0,1679200.0,2893800.0,578760.0,7852640.0,2355792.0,5496848.0,8545560.0,29637972.0,233249800.34718025,1.7537578973472199,0.0,0.0,0.0,True
