year,farms_acquired,capital_raised,new_tokens,funding_source,feag_issuance_fee
1,10,140000000.0,140000000.0,initial_raise,7000000.0
2,10,154736842.10526317,156299840.51036686,equity,7736842.105263159
3,10,141057546.0526316,137929577.712968,mixed,7052877.302631579
4,10,126184627.72039473,114025130.57190254,mixed,6309231.3860197365
5,10,102592234.8744408,82836082.01733348,mixed,5129611.74372204
6,10,70131557.2377625,49213006.22900398,mixed,3506577.861888125
7,10,29142646.813948296,17360657.079704847,mixed,1457132.340697415
8,10,0.0,0.0,treasury,0.0
9,10,0.0,0.0,treasury,0.0
10,10,0.0,0.0,treasury,0.0
