farm_id,farm_type,acquisition_year,year,age,gross,gross_forestry,gross_soil,gross_biodiversity,gross_beef,gross_water,pdf_fee,expert_fee,supplier_costs,admin,operator_paid,operator_overflow,treasury_pretax,tax,net_to_treasury,cum_profit,land_fmv
F001,medium,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14560000.0
F001,medium,1,2,2,2521800.0,185400.0,0.0,374400.0,1442000.0,520000.0,378270.0,126090.0,882630.0,75654.0,250000.0,2180.0,809156.0,202289.0,606867.0,606867.0,15142400.0
F001,medium,1,3,3,5520250.0,381924.0,954810.0,1038336.0,2333979.9999999995,811200.0000000001,828037.5,276012.5,1932087.4999999998,165607.5,250000.0,302025.0,2068505.0,517126.25,1551378.75,2158245.75,16338649.600000003
F001,medium,1,4,4,8361284.9399999995,590072.58,1966908.5999999999,1619804.1600000001,3059635.6,1124864.0000000002,1254192.741,418064.247,2926449.729,250838.54819999996,250000.0,586128.494,3261739.6747999997,815434.9186999999,2446304.7561,4604550.5061,17606371.328
F001,medium,1,5,5,11325928.7914,810366.3432000001,3038873.7870000005,2246128.4352000006,3826729.954,1403830.2720000003,1698889.31871,566296.43957,3964075.07699,339777.863742,250000.0,882592.8791400001,4506890.092388,1126722.523097,3380167.5692910003,7984718.075391,18949368.954880003
F001,medium,1,6,6,13932251.845749002,991179.3335265,3912550.0007625003,2919966.9657600005,4405241.482340001,1703314.0633600003,2089837.7768623503,696612.5922874501,4876288.146012151,417967.55537247006,250000.0,1143225.1845749002,5601545.775214581,1400386.4438036452,4201159.331410935,12185877.406801935,20371636.197785605
F001,medium,1,7,7,16100908.118658096,1128379.4202199052,4567250.034223426,3492280.491048961,5015019.645421801,1897978.5277440005,2415136.217798714,805045.4059329048,5635317.841530333,483027.24355974287,250000.0,1360090.8118658096,6512381.4098364,1628095.3524591,4884286.0573773,17070163.464179236,21186501.64569703
F001,medium,1,8,8,17663295.474095643,1217575.1267706216,4980989.154970724,3947795.337707521,5411445.007869429,2105490.8467773446,2649494.3211143464,883164.7737047821,6182153.415933475,529898.8642228693,250000.0,1516329.5474095643,7168584.09912017,1792146.0247800425,5376438.074340127,22446601.538519364,22033961.711524915
F001,medium,1,9,9,18759983.408186648,1311107.034236183,5415442.09793206,4269935.437264455,5573788.358105511,2189710.480648438,2813997.511227997,937999.1704093325,6565994.192865326,562799.5022455994,250000.0,1625998.340818665,7629193.031438393,1907298.2578595981,5721894.773578795,28168496.31209816,22915320.17998591
F001,medium,1,10,10,19910465.546735853,1409155.0385355845,5871479.327231602,4611530.272245611,5741002.008848678,2277298.899874376,2986569.8320103777,995523.2773367927,6968662.941357548,597313.9664020756,250000.0,1741046.5546735853,8112395.529629058,2028098.8824072646,6084296.647221793,34252792.95931996,23831932.987185348
F002,medium,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14560000.0
F002,medium,1,2,2,2521800.0,185400.0,0.0,374400.0,1442000.0,520000.0,378270.0,126090.0,882630.0,75654.0,250000.0,2180.0,809156.0,202289.0,606867.0,606867.0,15142400.0
F002,medium,1,3,3,5520250.0,381924.0,954810.0,1038336.0,2333979.9999999995,811200.0000000001,828037.5,276012.5,1932087.4999999998,165607.5,250000.0,302025.0,2068505.0,517126.25,1551378.75,2158245.75,16338649.600000003
F002,medium,1,4,4,8361284.9399999995,590072.58,1966908.5999999999,1619804.1600000001,3059635.6,1124864.0000000002,1254192.741,418064.247,2926449.729,250838.54819999996,250000.0,586128.494,3261739.6747999997,815434.9186999999,2446304.7561,4604550.5061,17606371.328
F002,medium,1,5,5,11325928.7914,810366.3432000001,3038873.7870000005,2246128.4352000006,3826729.954,1403830.2720000003,1698889.31871,566296.43957,3964075.07699,339777.863742,250000.0,882592.8791400001,4506890.092388,1126722.523097,3380167.5692910003,7984718.075391,18949368.954880003
F002,medium,1,6,6,13932251.845749002,991179.3335265,3912550.0007625003,2919966.9657600005,4405241.482340001,1703314.0633600003,2089837.7768623503,696612.5922874501,4876288.146012151,417967.55537247006,250000.0,1143225.1845749002,5601545.775214581,1400386.4438036452,4201159.331410935,12185877.406801935,20371636.197785605
F002,medium,1,7,7,16100908.118658096,1128379.4202199052,4567250.034223426,3492280.491048961,5015019.645421801,1897978.5277440005,2415136.217798714,805045.4059329048,5635317.841530333,483027.24355974287,250000.0,1360090.8118658096,6512381.4098364,1628095.3524591,4884286.0573773,17070163.464179236,21186501.64569703
F002,medium,1,8,8,17663295.474095643,1217575.1267706216,4980989.154970724,3947795.337707521,5411445.007869429,2105490.8467773446,2649494.3211143464,883164.7737047821,6182153.415933475,529898.8642228693,250000.0,1516329.5474095643,7168584.09912017,1792146.0247800425,5376438.074340127,22446601.538519364,22033961.711524915
