year,opening_nav,new_capital,land_revaluation,operating_result,closing_nav
1,0.0,140000000.0,5600000.0,0.0,138600000.0
2,138600000.0,154736842.10526317,11424000.0,5995331.25,303019331.25
3,303019331.25,141057546.0526316,23386496.00000006,20124603.665625,480535099.66562504
4,480535099.66562504,126184627.72039473,36063713.28000003,42537376.86928125,679011586.1492814
5,679011586.1492814,102592234.8744408,49493689.54879999,73375020.62412563,899342919.4529257
6,899342919.4529257,70131557.2377625,63716361.97785604,112314485.52674912,1141998746.3334053
7,1141998746.3334053,29142646.813948296,71865016.45697021,157969596.6471134,1399518873.9107397
8,1399518873.9107397,0.0,80339617.11524916,209381400.52999398,1689239891.5559828
9,1689239891.5559828,0.0,89153201.79985929,266318348.91606307,2044711442.2719052
10,2044711442.2719052,0.0,98319329.87185335,328198730.79474604,2471229502.9385047
