year,opening_farms,farms_acquired,closing_farms,gross_revenue,net_to_treasury,closing_treasury,land_nav,treasury_nav,total_nav,token_price,standard_token_price,dcf_premium,pv_future_cash,self_funding_capable,oldest_farm_cum_profit,feag_issuance_fee
1,0,10,10,0.0,0.0,-7000000.0,145600000.0,-7000000.0,138600000.0,0.704959789823464,0.99,-0.2879194042187233,-19798597.34126852,False,0.0,7000000.0
2,10,10,20,25707875.0,5995331.25,5995331.25,297024000.0,5995331.25,303019331.25,1.1324678544581663,1.0226780099782,0.1073552412477381,15309525.152694995,False,413598.75,7736842.105263159
3,20,10,30,85591075.0,20124603.665625,20124603.665625,460410496.00000006,20124603.665625,480535099.66562504,1.34794277910948,1.1066387478576452,0.21805131233564534,46974730.30951999,False,1314829.171875,7052877.302631579
4,30,10,40,180212304.9125,42537376.86928125,42537376.86928125,636474209.2800001,42537376.86928125,679011586.1492814,1.6286814088385186,1.2384969493483933,0.315046766724304,91734633.1480589,False,2686084.4866875,6309231.3860197365
5,40,10,50,310110077.11700004,73375020.62412563,73375020.62412563,825967898.8288001,73375020.62412563,899342919.4529257,1.9936302841105067,1.4250614341952157,0.398978483504034,148053632.18015558,False,4501134.532739063,5129611.74372204
6,50,10,60,474021602.98963004,112314485.52674912,112314485.52674912,1029684260.8066561,112314485.52674912,1141998746.3334053,2.469074865335623,1.6786603571599237,0.47086029333115276,215106012.69347998,False,6787036.200517501,3506577.861888125
7,60,10,70,666155534.3013936,157969596.6471134,157969596.6471134,1241549277.2636263,157969596.6471134,1399518873.9107397,3.0725404946140498,2.0060061632843884,0.5316705156994377,290325814.56713164,True,9403503.842083521,1457132.340697415
8,70,10,80,882484529.9974774,209381400.52999398,227350997.1771074,1461888894.3788755,227350997.1771074,1689239891.5559828,3.939056457662053,2.421278981581836,0.6268494822883417,405848609.4193031,True,12324237.020517293,0.0
9,80,10,90,1121973024.5657747,266318348.91606307,353669346.09317046,1691042096.1787348,353669346.09317046,2044711442.2719052,5.277349090184169,2.93079559825726,0.8006540931487138,621215030.0163075,True,15492485.477789914,0.0
10,90,10,100,1382164816.4907951,328198730.79474604,541868076.8879166,1929361426.0505881,541868076.8879166,2471229502.9385047,7.12610004384982,3.5421470236642407,1.0118024453084646,943916224.4229156,True,18854242.449925087,0.0
