year,pdf_total,expert_total,supplier_total,admin_total,operator_paid_total,operator_overflow_total,tax_total
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4308435.0,1436145.0,10053015.0,861687.0,2500000.0,372290.0,2390904.5
3,13964358.0,4654786.0,32583501.999999996,2792871.6,5000000.0,4309572.0,8525050.6
4,29003833.3155,9667944.4385,67675611.0695,5800766.6631,7500000.0,11835888.877,18427683.32085
5,49665260.655300006,16555086.885100003,115885608.1957,9933052.13106,10000000.0,23110173.770200007,32265682.458710004
6,75550018.4391648,25183339.479721602,176283376.3580512,15110003.68783296,12500000.0,37866678.959443204,49760012.90741537
7,105933544.83061877,35311181.61020626,247178271.27144378,21186708.966123752,15000000.0,55622363.220412515,70403481.38143314
8,140021427.50270918,46673809.167569734,326716664.1729881,28004285.50054184,17500000.0,75847618.33513947,93639999.25189644
9,177510014.5204671,59170004.840155706,414190033.8810899,35502002.90409342,20000000.0,98340009.68031141,119257010.16432698
10,218248214.54578617,72749404.8485954,509245833.9401677,43649642.90915723,22500000.0,122998809.69719079,147148750.18205032
