year,total_nav,tokens_outstanding,token_price,token_multiple
1,138600000.0,140000000.0,0.704959789823464,0.704959789823464
2,303019331.25,296299840.51036686,1.1324678544581663,1.1324678544581663
3,482016312.63437504,434229418.22333485,1.3691143910154175,1.3691143910154175
4,684488920.4717814,546499559.1126351,1.694337746387897,1.694337746387897
5,911498247.1224008,623806442.3176548,2.131684775712632,2.131684775712632
6,1163409113.2454026,663046081.9959433,2.720227536385131,2.720227536385131
7,1432299721.2230766,666810619.162544,3.495430242542213,3.495430242542213
8,1767985416.4024322,666810619.162544,4.7894347714126795,4.7894347714126795
9,2184341115.1590905,666810619.162544,6.700226347467921,6.700226347467921
10,2688214176.0084424,666810619.162544,9.2827920364974,9.2827920364974
