year,opening_farms,opening_treasury,opening_nav,farms_acquired,capital_raised,new_tokens,funding_source,feag_issuance_fee,gross_revenue,pdf_total,expert_total,supplier_total,admin_total,operator_paid_total,operator_overflow_total,treasury_pretax_total,tax_total,net_to_treasury,closing_farms,closing_treasury,land_nav,treasury_nav,total_nav,tokens_outstanding,token_price,standard_token_price,pv_future_cash,dcf_premium,self_funding_capable,oldest_farm_cum_profit,avg_cum_profit_first_10,scenario
1,0,0.0,0.0,10,140000000.0,140000000.0,initial_raise,7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,-7000000.0,144200000.0,-7000000.0,137200000.0,140000000.0,0.694959789823464,0.98,-19798597.34126852,-0.290857357322996,False,0.0,0.0,Conservative
2,10,-7000000.0,137200000.0,10,154736842.10526317,157894736.84210527,equity,7736842.105263159,17307050.0,2566105.5,835400.5,6245349.0,549163.5,1730705.0,0.0,5380326.500000001,1345081.6250000002,4035244.875000001,20,4035244.875000001,292726000.0,4035244.875000001,296761244.875,297894736.84210527,1.069695013537497,0.9961949916298586,10304298.517466586,0.07378075831056541,False,279020.62500000006,403524.4875000001,Conservative
3,20,4035244.875000001,296761244.875,10,143120794.86842105,143667450.72093108,mixed,7156039.743421053,56648536.0,8458804.969999999,2793951.3699999996,20245548.259999998,1737931.5099999998,5155402.3,509451.29999999993,18256897.59,4564224.3975,13692673.192499999,30,13692673.192499999,449532324.5,13692673.192499999,463224997.6925,441562187.5630363,1.2105149798072399,1.049059477327576,31961356.413331676,0.15390500345220004,False,873964.2375,1356465.200625,Conservative
4,30,13692673.192499999,463224997.6925,10,132955080.85000001,126737409.76888755,mixed,6647754.0425,118308866.77000001,17727432.693600003,5896546.016600001,42080772.4003,3568163.325,9198681.229,2632205.448000001,39837271.105500005,9959317.776375001,29877953.329125002,40,29877953.329125002,614982119.5699999,29877953.329125002,644860072.899125,568299597.3319238,1.3991145855612928,1.1347185110224263,64433758.95708869,0.2330058705930822,False,1769615.976375,2928417.52815,Conservative
5,40,29877953.329125002,644860072.899125,10,115917943.86407895,102155682.43407989,mixed,5795897.193203948,202560377.88075003,30418302.8519265,10162265.063851502,71830186.89114201,6042565.1666085,13344004.967075001,6912032.821000003,70763052.94014652,17690763.23503663,53072289.70510989,50,53072289.70510989,789452867.7521499,53072289.70510989,842525157.4572598,670455279.7660037,1.6437475614498458,1.2566463161440242,107087469.17033839,0.3080431147036091,False,3025384.41400125,5141134.990330688,Conservative
6,50,53072289.70510989,842525157.4572598,10,91502852.94198959,72815120.50483936,mixed,4575142.647099479,308595418.983676,46393738.87389196,15534196.975524355,109244000.0881833,9153436.543169726,17472845.921774052,13386695.976593554,110797200.58113264,27699300.14528316,83097900.43584947,60,83097900.43584947,973336921.417616,83097900.43584947,1056434821.8534654,743270400.270843,1.9565935274419284,1.4213330995940472,159150068.1512559,0.37659041923442094,False,4679587.153190393,7951362.175470516,Conservative
7,60,83097900.43584947,1056434821.8534654,10,59896946.90963214,42141386.0879899,mixed,2994847.345481607,432658119.3572605,65079803.534643106,21813991.59891705,153013580.21705303,12798657.949663794,21570725.235010505,21695086.700715553,158381360.8219731,39595340.20549327,118786020.61647981,70,118786020.61647981,1162737496.693046,118786020.61647981,1281523517.309526,785411786.358833,2.3440447259195043,1.631658118158203,218311934.2369845,0.4366028641866686,False,6611300.578779388,11218974.382902982,Conservative
8,70,118786020.61647981,1281523517.309526,10,22330504.614231776,13685774.222996049,mixed,1116525.2307115889,572170415.813393,86088055.48087281,28871013.89953351,202231303.2637723,16902619.36553793,25671768.68506738,31545272.89627192,212405655.11860907,53101413.77965227,159304241.3389568,80,159304241.3389568,1357820089.226739,159304241.3389568,1517124330.5656958,799097560.581829,2.8270542569723864,1.8985470678462166,284377045.29462606,0.4890619805278271,True,8800439.25069297,14844803.02083433,Conservative
9,80,159304241.3389568,1517124330.5656958,10,0.0,0.0,treasury,0.0,726350155.0553031,109304336.72901224,36669321.223481916,256604779.24618277,21438691.18094233,29776080.306346226,42858935.19918409,272556946.3693376,68139236.5923344,204417709.7770032,90,223721951.11596,1558755159.5364425,223721951.11596,1782477110.6524024,799097560.581829,3.5265628781550875,2.230612629269657,392964332.6826388,0.5809840004849913,True,11193049.46964809,18789513.423906885,Conservative
10,90,223721951.11596,1782477110.6524024,10,0.0,0.0,treasury,0.0,893633993.6561376,134496080.26023716,45132680.89462339,315578100.74445784,26358038.59786762,33883767.61869251,55479631.746921256,338185325.5402591,84546331.38506478,253638994.1551943,100,337360945.2711543,1765718281.9554374,337360945.2711543,2103079227.2265916,799097560.581829,4.579913334263065,2.631817854249641,587671581.5350792,0.7402090828085996,True,13746136.15548942,22989208.77811203,Conservative
