parameter,value,year_5_token_price,year_10_token_price,year_10_nav,year_10_revenue,total_pdf,token_multiple,min_farm_profit,year_10_treasury,year_10_land
ACCU Price,30.0,2.0087833206333148,7.649709904826541,2531341535.5941763,1211745129.0178978,676457385.8796583,7.649709904826541,19381758.048021674,601980109.5435882,1929361426.0505881
ACCU Price,35.0,2.049337109717352,8.18119749649529,2583632415.732265,1268551691.5088637,707942712.9410092,8.18119749649529,20353973.898181647,654270989.6816769,1929361426.0505881
ACCU Price,40.0,2.0902409138973104,8.725487680821253,2635923295.8703537,1325358253.9998295,739428040.00236,8.725487680821253,21326189.748341624,706561869.8197654,1929361426.0505881
ACCU Price,45.0,2.131684775712632,9.2827920364974,2688214176.0084424,1382164816.4907951,770913367.0637109,9.2827920364974,22298405.598501593,758852749.9578542,1929361426.0505881
ACCU Price,50.0,2.1735534856803986,9.853356007501862,2740505056.146531,1438971378.981761,802398694.1250619,9.853356007501862,23270621.448661566,811143630.0959429,1929361426.0505881
ACCU Price,55.0,2.215827223941125,10.43379407902127,2797870552.8658557,1495777941.4727266,833884021.1864126,10.43379407902127,24244866.283196535,868509126.8152676,1929361426.0505881
ACCU Price,60.0,2.258519586873832,11.02325761083304,2855836315.0751896,1552584503.9636924,865369348.2477635,11.02325761083304,25224541.586481508,926474889.0246012,1929361426.0505881
PDF Rate,0.1,2.2874436213490963,11.097045050683223,2853030968.765777,1382164816.4907951,512842084.0374571,11.097045050683223,25298553.063767117,923669542.715189,1929361426.0505881
PDF Rate,0.125,2.2087204330294776,10.180731589332547,2768153477.9843073,1382164816.4907951,641052605.0468214,10.180731589332547,23807485.147716742,838792051.9337189,1929361426.0505881
PDF Rate,0.15,2.1312820719084296,9.291598620755854,2689454203.0656624,1382164816.4907951,769263126.0561855,9.291598620755854,22316417.231666368,760092777.0150743,1929361426.0505881
PDF Rate,0.175,2.0551168371557202,8.437573800876946,2613464617.3402476,1382164816.4907951,897473647.0655499,8.437573800876946,20825349.31561599,684103191.2896596,1929361426.0505881
PDF Rate,0.2,1.9802130813882879,7.619103556707412,2537475031.614833,1382164816.4907951,1025684168.0749142,7.619103556707412,19334281.399565615,608113605.564245,1929361426.0505881
Land Appreciation,0.02,1.9858111801777958,8.640930047514845,2479871544.6380053,1382164816.4907951,770913367.0637109,8.640930047514845,22298405.598501593,758852749.9578542,1721018794.680151
Land Appreciation,0.03,2.0576184003364872,8.954386916416414,2580884474.533971,1382164816.4907951,770913367.0637109,8.954386916416414,22298405.598501593,758852749.9578542,1822031724.5761166
Land Appreciation,0.04,2.131684775712632,9.2827920364974,2688214176.0084424,1382164816.4907951,770913367.0637109,9.2827920364974,22298405.598501593,758852749.9578542,1929361426.0505881
Land Appreciation,0.05,2.2080749532804096,9.627202982255834,2802247095.5142584,1382164816.4907951,770913367.0637109,9.627202982255834,22298405.598501593,758852749.9578542,2043394345.5564044
