year,total,expert_fees,supplier_costs,operator_fees,operator_overflow,project_development,fund_administration,treasury_net,corporate_tax,farm_profit
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9930600.0,198612.0,1489590.0,500000.0,95836.0,1489590.0,198612.0,4237937.2,1816258.8,4237937.2
3,14919588.4,298391.76800000004,2237938.26,750000.0,145175.304,2237938.26,298391.76800000004,6367849.8407999985,2729078.5031999997,6367849.8408
4,25635379.068000004,512707.58136000007,3845306.8602000005,1000000.0,538122.7440800001,3845306.8602000005,512707.58136000007,11143545.129416,4775805.055464,11143545.129416004
5,39783354.16624001,795667.0833248001,5967503.124936,1250000.0,1137001.2499744003,5967503.124936,795667.0833248001,17504909.62480288,7502104.124915521,17504909.624802884
6,57706976.907325216,1154139.5381465044,8656046.536098782,1500000.0,1962418.6144395126,8656046.536098782,1154139.5381465044,25610623.331184246,10975981.42765039,25610623.331184253
7,79850642.82519345,1597012.856503869,11977596.423779016,2000000.0,2791038.5695116064,11977596.423779016,1597012.856503869,35490996.98523937,15210427.279388301,35490996.98523938
8,113166712.61292212,2263334.2522584423,16975006.891938318,2500000.0,4290002.756775327,16975006.891938318,2263334.2522584423,50533021.22717002,21657009.09735858,50533021.22717002
9,155301842.2804884,3106036.8456097683,23295276.342073258,2500000.0,6818110.536829304,23295276.342073258,3106036.8456097683,69999451.13358563,29999764.7715367,69999451.13358563
10,190885387.44136482,3817707.748827297,28632808.116204724,2500000.0,8953123.24648189,28632808.116204724,3817707.748827297,86439048.99791056,37045306.71339024,86439048.99791056
